Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1961","1961","3050","FAO TIER 1","kt","167.17","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1962","1962","3050","FAO TIER 1","kt","165.345","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1963","1963","3050","FAO TIER 1","kt","174.47","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1964","1964","3050","FAO TIER 1","kt","178.85","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1965","1965","3050","FAO TIER 1","kt","167.9","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1966","1966","3050","FAO TIER 1","kt","182.5","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1967","1967","3050","FAO TIER 1","kt","168.63","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1968","1968","3050","FAO TIER 1","kt","179.58","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1969","1969","3050","FAO TIER 1","kt","176.295","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1970","1970","3050","FAO TIER 1","kt","160.6","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1971","1971","3050","FAO TIER 1","kt","184.69","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1972","1972","3050","FAO TIER 1","kt","200.75","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1973","1973","3050","FAO TIER 1","kt","200.75","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1974","1974","3050","FAO TIER 1","kt","204.4","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1975","1975","3050","FAO TIER 1","kt","219","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1976","1976","3050","FAO TIER 1","kt","222.65","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1977","1977","3050","FAO TIER 1","kt","200.75","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1978","1978","3050","FAO TIER 1","kt","190.895","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1979","1979","3050","FAO TIER 1","kt","212.5322","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1980","1980","3050","FAO TIER 1","kt","228.1323","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1981","1981","3050","FAO TIER 1","kt","226.3","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1982","1982","3050","FAO TIER 1","kt","222.65","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1983","1983","3050","FAO TIER 1","kt","219","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1984","1984","3050","FAO TIER 1","kt","216.81","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1985","1985","3050","FAO TIER 1","kt","215.35","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1986","1986","3050","FAO TIER 1","kt","214.62","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1987","1987","3050","FAO TIER 1","kt","210.97","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1988","1988","3050","FAO TIER 1","kt","206.59","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1989","1989","3050","FAO TIER 1","kt","189.8","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1990","1990","3050","FAO TIER 1","kt","175.2","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1991","1991","3050","FAO TIER 1","kt","167.9","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1992","1992","3050","FAO TIER 1","kt","153.3","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1993","1993","3050","FAO TIER 1","kt","160.6","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1994","1994","3050","FAO TIER 1","kt","167.9","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1995","1995","3050","FAO TIER 1","kt","171.55","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1996","1996","3050","FAO TIER 1","kt","167.9","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1997","1997","3050","FAO TIER 1","kt","175.2","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1998","1998","3050","FAO TIER 1","kt","182.5","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1999","1999","3050","FAO TIER 1","kt","182.5","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","2000","2000","3050","FAO TIER 1","kt","178.85","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","2001","2001","3050","FAO TIER 1","kt","178.85","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","2002","2002","3050","FAO TIER 1","kt","156.95","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","2003","2003","3050","FAO TIER 1","kt","146","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","2004","2004","3050","FAO TIER 1","kt","146","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","2005","2005","3050","FAO TIER 1","kt","153.3","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","2006","2006","3050","FAO TIER 1","kt","167.9","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","2007","2007","3050","FAO TIER 1","kt","160.6","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","2008","2008","3050","FAO TIER 1","kt","156.95","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","2009","2009","3050","FAO TIER 1","kt","153.3","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","2010","2010","3050","FAO TIER 1","kt","153.3","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","2011","2011","3050","FAO TIER 1","kt","156.95","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","2012","2012","3050","FAO TIER 1","kt","160.089","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","2013","2013","3050","FAO TIER 1","kt","160.089","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","2014","2014","3050","FAO TIER 1","kt","142.35","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","2015","2015","3050","FAO TIER 1","kt","153.3","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","2016","2016","3050","FAO TIER 1","kt","129.4483","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","2017","2017","3050","FAO TIER 1","kt","125.5649","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","2018","2018","3050","FAO TIER 1","kt","116.5022","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","2019","2019","3050","FAO TIER 1","kt","117.8954","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","2020","2020","3050","FAO TIER 1","kt","112.9528","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","2021","2021","3050","FAO TIER 1","kt","111.4781","E","Estimated value",""
"GLE","Emissions from Livestock","076","Brazil","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1961","1961","3050","FAO TIER 1","kt","539.9226","E","Estimated value",""
"GLE","Emissions from Livestock","076","Brazil","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1962","1962","3050","FAO TIER 1","kt","556.0848","E","Estimated value",""
"GLE","Emissions from Livestock","076","Brazil","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1963","1963","3050","FAO TIER 1","kt","577.2548","E","Estimated value",""
"GLE","Emissions from Livestock","076","Brazil","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1964","1964","3050","FAO TIER 1","kt","582.9415","E","Estimated value",""
"GLE","Emissions from Livestock","076","Brazil","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1965","1965","3050","FAO TIER 1","kt","614.4191","E","Estimated value",""
"GLE","Emissions from Livestock","076","Brazil","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1966","1966","3050","FAO TIER 1","kt","660.6865","E","Estimated value",""
"GLE","Emissions from Livestock","076","Brazil","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1967","1967","3050","FAO TIER 1","kt","656.7737","E","Estimated value",""
"GLE","Emissions from Livestock","076","Brazil","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1968","1968","3050","FAO TIER 1","kt","656.2408","E","Estimated value",""
"GLE","Emissions from Livestock","076","Brazil","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1969","1969","3050","FAO TIER 1","kt","676.9947","E","Estimated value",""
"GLE","Emissions from Livestock","076","Brazil","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1970","1970","3050","FAO TIER 1","kt","694.595","E","Estimated value",""
"GLE","Emissions from Livestock","076","Brazil","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1971","1971","3050","FAO TIER 1","kt","721.24","E","Estimated value",""
