Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GLE","Emissions from Livestock","840","United States of America","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1961","1961","3050","FAO TIER 1","kt","3034.7694","E","Estimated value",""
"GLE","Emissions from Livestock","840","United States of America","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1962","1962","3050","FAO TIER 1","kt","2964.192","E","Estimated value",""
"GLE","Emissions from Livestock","840","United States of America","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1963","1963","3050","FAO TIER 1","kt","2861.76","E","Estimated value",""
"GLE","Emissions from Livestock","840","United States of America","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1964","1964","3050","FAO TIER 1","kt","2759.152","E","Estimated value",""
"GLE","Emissions from Livestock","840","United States of America","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1965","1965","3050","FAO TIER 1","kt","2631.904","E","Estimated value",""
"GLE","Emissions from Livestock","840","United States of America","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1966","1966","3050","FAO TIER 1","kt","2476.496","E","Estimated value",""
"GLE","Emissions from Livestock","840","United States of America","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1967","1967","3050","FAO TIER 1","kt","2361.04","E","Estimated value",""
"GLE","Emissions from Livestock","840","United States of America","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1968","1968","3050","FAO TIER 1","kt","2258.432","E","Estimated value",""
"GLE","Emissions from Livestock","840","United States of America","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1969","1969","3050","FAO TIER 1","kt","2166.032","E","Estimated value",""
"GLE","Emissions from Livestock","840","United States of America","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1970","1970","3050","FAO TIER 1","kt","2112","E","Estimated value",""
"GLE","Emissions from Livestock","840","United States of America","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1971","1971","3050","FAO TIER 1","kt","2083.664","E","Estimated value",""
"GLE","Emissions from Livestock","840","United States of America","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1972","1972","3050","FAO TIER 1","kt","2059.2","E","Estimated value",""
